route_id,bus_number,starting_point,ending_point,via,via_stops,bus_count,high_frequency_route,night_service_route,low_frequency_route,rainfall_index
0,1,thiruvottiyur,thiruvanmiyur,"Adyar, Mylapore, Royapettah, Parry's Corner, Kalmandapam, Tollgate, Rajakadai, Theradi","['Adyar', ' Mylapore', ' Royapettah', "" Parry's Corner"", ' Kalmandapam', ' Tollgate', ' Rajakadai', ' Theradi']",8,0,0,0,82
1,101,thiruvottiyur,poonamallee,"Tollgate, Central, KMC, Mathuravoyal, Karayanchavadi","['Tollgate', ' Central', ' KMC', ' Mathuravoyal', ' Karayanchavadi']",5,1,1,0,80
2,10A,tollgate,saidapet west,"Kal mandapam, Parrys, Central R.S, Egmore R.S, Maternity Hospital, DPI, Sterling road, Valluvar Kottam, Panagal park, T.Nagar, Srinivasa Theater, Mettupalayam","['Kal mandapam', ' Parrys', ' Central R.S', ' Egmore R.S', ' Maternity Hospital', ' DPI', ' Sterling road', ' Valluvar Kottam', ' Panagal park', ' T.Nagar', ' Srinivasa Theater', ' Mettupalayam']",12,0,0,1,41
3,10E,ekkaduthangal,broadway,"Central R.S, Egmore R.S, Maternity Hospital, DPI, Sterling road, Valluvar Kottam, Panagal park, T.Nagar, Srinivasa Theater, Mettupalayam, Ashok Nagar, Jaffarkhanpet","['Central R.S', ' Egmore R.S', ' Maternity Hospital', ' DPI', ' Sterling road', ' Valluvar Kottam', ' Panagal park', ' T.Nagar', ' Srinivasa Theater', ' Mettupalayam', ' Ashok Nagar', ' Jaffarkhanpet']",12,0,0,1,24
4,11,broadway,t.nagar,"Panagal park, Vani mahal, Thousand Lights, TVS, Central R.S","['Panagal park', ' Vani mahal', ' Thousand Lights', ' TVS', ' Central R.S']",5,1,0,0,78
5,114,red hills,vandalur zoo,"Tambaram, Pallavaram, Guindy, Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam","['Tambaram', ' Pallavaram', ' Guindy', ' Ashok nagar', ' Vadapalani', ' CMBT', ' Thirumangalam', ' Anna nagar west', ' Padi', ' Thathankuppam', ' Kolathur', ' Retteri', ' Puzhal', ' Kavangarai', ' Ayurveda Ashramam']",15,1,0,0,46
6,114 cut,red hills,koyambedu market,"Puzhal, Nethaji Circle(byepass), Retteri, Thirumangalam","['Puzhal', ' Nethaji Circle(byepass)', ' Retteri', ' Thirumangalam']",4,0,0,0,36
7,114A,red hills,ayanavaram,"Puzhal, Nethaji Circle(byepass), Retteri, Lucas, ICF","['Puzhal', ' Nethaji Circle(byepass)', ' Retteri', ' Lucas', ' ICF']",5,0,0,0,89
8,114E,koyambedu market,new erumai vettipalayam,"Red Hills, Puzhal, Nethaji Circle(byepass), Retteri","['Red Hills', ' Puzhal', ' Nethaji Circle(byepass)', ' Retteri']",4,0,0,1,68
9,114P,koyambedu market,padiyanallur,"Puzhal, Nethaji circle, Retteri, Lucas, Thriumangalam","['Puzhal', ' Nethaji circle', ' Retteri', ' Lucas', ' Thriumangalam']",5,0,0,0,75
